Reference,Group,Genus,Species,ID,Habitat,Volume,Temperature,Growth
Weisse et al. 2001,Ciliates,Urotricha,Urotricha farcta,BN,Freshwater,3350,15,1.5
Weisse et al. 2001,Ciliates,Urotricha,Urotricha farcta,BN,Freshwater,3350,18,1.8
Weisse et al. 2001,Ciliates,Urotricha,Urotricha farcta,BN,Freshwater,3350,20,1.8
Weisse et al. 2001,Ciliates,Urotricha,Urotricha farcta,BN,Freshwater,3350,25,1.8
Weisse et al. 2001,Ciliates,Urotricha,Urotricha farcta,BN,Freshwater,3350,30,1.7
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,5,0.04
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,7.5,0.22
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,12.5,0.65
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,10,0.51
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,25,0.47
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,22.5,0.42
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,15,0.55
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,17.5,0.52
Weisse et al. 2001,Ciliates,Urotricha,Urotricha castalia,BO,Freshwater,9750,20,0.5
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BP,Freshwater,3150,5,-0.08
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BP,Freshwater,3150,10,0.2
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BP,Freshwater,3150,15,0.7
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BP,Freshwater,3150,20,1.01
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BP,Freshwater,3150,25,0.94
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BP,Freshwater,3150,27.5,0.23
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BQ,Freshwater,3150,5,0.196
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BQ,Freshwater,3150,10,0.175
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BQ,Freshwater,3150,15,0.226
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BQ,Freshwater,3150,20,0.323
Weisse et al. 2001,Ciliates,Urotricha,Urotricha furcata,BQ,Freshwater,3150,25,0.518
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,6,0.28
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,7.5,0.58
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,9,0.85
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,12,1.05
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,15,1.42
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,18,1.58
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,19.5,1.4
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BR,Freshwater,1700,21,0.76
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BS,Freshwater,2330,5.5,0.5
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BS,Freshwater,2330,9,0.84
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BS,Freshwater,2330,12,0.95
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BS,Freshwater,2330,15.5,1.3
Weisse et al. 2001,Ciliates,Balanion,Balanion planctonicum,BS,Freshwater,2330,18.5,1.5
Weisse et al. 2002,Ciliates,Urotricha,Urotricha farcta,BT,Freshwater,3350,9,0.79
Weisse et al. 2002,Ciliates,Urotricha,Urotricha farcta,BT,Freshwater,3350,12,1.2
Weisse et al. 2002,Ciliates,Urotricha,Urotricha farcta,BT,Freshwater,3350,15,1.3
Weisse et al. 2002,Ciliates,Urotricha,Urotricha farcta,BT,Freshwater,3350,18,1.8
Weisse et al. 2002,Ciliates,Urotricha,Urotricha farcta,BT,Freshwater,3350,21,3.9
Weisse et al. 2002,Ciliates,Urotricha,Urotricha farcta,BT,Freshwater,3350,24,3.7
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,24846,12,-0.15
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,29454,15,0
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,66830,18,0.31
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,72462,20,0.53
